pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,973.6474555428513
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,973.6474555428513
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,973.2089021552208
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,973.3644202272363
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,973.0390095605231
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,973.50176732918
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,971.943877831486
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,974.1083391685684
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,974.4815299763961
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,974.3350603402441
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,974.4907581867919
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,974.3031087403576
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,972.4759770407003
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,972.6439283548938
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,972.7493405237243
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,972.445949795972
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,972.1179484111327
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,972.74789103902
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,973.0548736594515
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,973.8143130733565
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,973.1692387010286
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,973.119556929273
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,973.085884137107
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,972.5899863956386
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,973.0899086069765
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,973.2922286736076
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,972.6514098908174
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,972.4242872954856
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,973.1124284077918
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,973.1784220779784
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,972.740079737136
